"","G","fV","betaV","betaH","kstarN","phi","Protein_intake","Lipid_intake","lipid_absorption_efficiency","protein_absorption","lipid_absorption","Respiration","Excretion","Pellet_C","Pellet_N","Growth_G","Growth_N","G.2"
"83",0.006,0.82,0.858,0.665,0.6119194,0,0.0770423260826614,0.00416367506134571,0.858,0.665,0.0661023157789235,0.0027688439157949,0.0628711596947184,0.0167116445972142,0.0123348414492887,0.00295675954155079,0.006,0.00115384615384615
"84",0.006,0.83,0.858,0.665,0.6119194,0,0.0772202625983731,0.0039320040009111,0.858,0.665,0.0662549853094041,0.00261478266060588,0.0628697679700101,0.0167529066324793,0.0122824986292742,0.0029635884564781,0.006,0.00115384615384615
"85",0.006,0.84,0.858,0.665,0.6119194,0,0.077398166919476,0.00370037485744433,0.858,0.665,0.0664076272169104,0.00246074928020048,0.0628683764971108,0.0167941612020756,0.0122301652798094,0.00297041613582854,0.006,0.00115384615384615
"86",0.006,0.85,0.858,0.665,0.6119194,0,0.0775760390547066,0.0034687876195702,0.858,0.665,0.0665602415089383,0.00230674376701418,0.0628669852759524,0.016835408308029,0.0121778413983244,0.00297724257993739,0.006,0.00115384615384615
"87",0.006,0.86,0.858,0.665,0.6119194,0,0.0777538790127985,0.00323724227591758,0.858,0.665,0.0667128281929811,0.00215276611348519,0.0628655943064664,0.016876647952365,0.0121255269822498,0.00298406778913984,0.006,0.00115384615384615
"88",0.006,0.87,0.858,0.665,0.6119194,0,0.0779316868024825,0.0030057388151195,0.858,0.665,0.06686538727653,0.00199881631205447,0.0628642035885845,0.0169178801371079,0.0120732220290175,0.00299089176377095,0.006,0.00115384615384615
"89",0.006,0.88,0.858,0.665,0.6119194,0,0.0781094624324858,0.00277427722581306,0.858,0.665,0.0670179187670728,0.00184489435516568,0.0628628131222386,0.0169591048642816,0.0120209265360604,0.00299771450416567,0.006,0.00115384615384615
"90",0.006,0.89,0.858,0.665,0.6119194,0,0.0782872059115327,0.0025428574966395,0.858,0.665,0.0671704226720951,0.00169100023526527,0.0628614229073603,0.0170003221359092,0.0119686405008119,0.00300453601065882,0.006,0.00115384615384615
"91",0.006,0.9,0.858,0.665,0.6119194,0,0.0784649172483438,0.00231147961624415,0.858,0.665,0.067322898999079,0.00153713394480236,0.0628600329438814,0.0170415319540131,0.0119163639207066,0.00301135628358509,0.006,0.00115384615384615
"92",0.006,0.91,0.858,0.665,0.6119194,0,0.0786425964516375,0.00208014357327646,0.858,0.665,0.067475347755505,0.00138329547622884,0.0628586432317339,0.0170827343206147,0.0118640967931801,0.00301817532327906,0.006,0.00115384615384615
"93",0.006,0.92,0.858,0.665,0.6119194,0,0.0788202435301285,0.00184884935638997,0.858,0.665,0.0676277689488503,0.00122948482199933,0.0628572537708494,0.017123929237735,0.0118118391156689,0.0030249931300752,0.006,0.00115384615384615
"94",0.006,0.93,0.858,0.665,0.6119194,0,0.0789978584925277,0.00161759695424233,0.858,0.665,0.0677801625865888,0.00107570197457115,0.06285586456116,0.0171651167073941,0.0117595908856101,0.00303180970430782,0.006,0.00115384615384615
"95",0.006,0.94,0.858,0.665,0.6119194,0,0.0791754413475444,0.00138638635549529,0.858,0.665,0.0679325286761931,0.00092194692640437,0.0628544756025973,0.0172062967316114,0.0117073521004422,0.00303862504631116,0.006,0.00115384615384615
"96",0.006,0.95,0.858,0.665,0.6119194,0,0.0793529921038832,0.00115521754881471,0.858,0.665,0.0680848672251318,0.000768219669961783,0.0628530868950935,0.0172474693124057,0.0116551227576043,0.0030454391564193,0.006,0.00115384615384615
"97",0.006,0.96,0.858,0.665,0.6119194,0,0.0795305107702462,0.000924090522870527,0.858,0.665,0.0682371782408713,0.0006145201977089,0.0628516984385803,0.0172886344517948,0.0116029028545366,0.00305225203496621,0.006,0.00115384615384615
"98",0.006,0.97,0.858,0.665,0.6119194,0,0.0797079973553333,0.000693005266336784,0.858,0.665,0.0683894617308759,0.000460848502113961,0.0628503102329899,0.017329792151796,0.0115506923886801,0.00305906368228576,0.006,0.00115384615384615
"99",0.006,0.98,0.858,0.665,0.6119194,0,0.0798854518678392,0.000461961767891615,0.858,0.665,0.068541717702606,0.000307204575647924,0.062848922278254,0.0173709424144258,0.0114984913574769,0.00306587409871167,0.006,0.00115384615384615
"100",0.006,0.99,0.858,0.665,0.6119194,0,0.0800628743164573,0.000230960016217249,0.858,0.665,0.0686939461635204,0.000153588410784471,0.0628475345743049,0.0174120852416999,0.0114462997583697,0.00307268328457755,0.006,0.00115384615384615
"101",0.006,1,0.858,0.665,0.6119194,0,0.080240264709877,0,0.858,0.665,0.0688461471210744,0,0.0628461471210744,0.0174532206356334,0.0113941175888025,0.0030794912402169,0.006,0.00115384615384615
